(Example of...),(Result...),(Filter step),target_url,target_url_domain,final_url,final_url_domain,final_url_website,canonical_link,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,final_url_status_code,target_url_404_test,primary_scan_status
XML mimetype,"(isn't removed at the moment, but should be soon)",-,ses.api.healthcare.gov,healthcare.gov,https://ses.api.healthcare.gov/,healthcare.gov,ses.api.healthcare.gov,,text/xml,TRUE,FALSE,TRUE,TRUE,Department of Health and Human Services,Centers for Medicare and Medicaid Services,202,FALSE,unknown_error
JSON mimetype,"(isn't removed at the moment, but should be soon)",-,api.america.gov,america.gov,https://api.america.gov/,america.gov,api.america.gov,,application/json,TRUE,FALSE,TRUE,TRUE,Department of State,Bureau of Global Public Affairs (GPA),200,FALSE,unknown_error
"Should 404, but fails 404 test","(possibly should be removed, but no solution on how to do so)",-,files.nccih.nih.gov,nih.gov,https://files.nccih.nih.gov/,nih.gov,files.nccih.nih.gov,https://www.nccih.nih.gov/404.html,text/html,TRUE,FALSE,TRUE,TRUE,Department of Health and Human Services,National Institutes of Health,200,TRUE,completed
"Should 404, but fails 404 test","(possibly should be removed, but no solution on how to do so)",-,files.asprtracie.hhs.gov,hhs.gov,https://files.asprtracie.hhs.gov/,hhs.gov,files.asprtracie.hhs.gov,,text/html,TRUE,FALSE,TRUE,TRUE,Department of Health and Human Services,Office of the Secretary,200,TRUE,completed
Website that lacks a public homepage,"Never filtered out; there's content, even though 'no homepage'; eg https://owshiny.epa.gov/nars-dataextr/",-,owshiny.epa.gov,epa.gov,https://owshiny.epa.gov/,epa.gov,owshiny.epa.gov,,text/html,TRUE,FALSE,TRUE,TRUE,Environmental Protection Agency,Environmental Protection Agency,200,TRUE,completed
Website that lacks a public homepage,"Never filtered out; there's content, even though 'no homepage'; eg https://www.az.blm.gov/otherNLCS-map.htm",-,az.blm.gov,blm.gov,https://az.blm.gov/,blm.gov,az.blm.gov,,text/html,TRUE,FALSE,TRUE,TRUE,Department of the Interior,Bureau of Land Management - Main Domain,200,TRUE,completed
"Redirects to a primary site, but a shorter url could work ",Never filtered out,-,mapservices.nps.gov,nps.gov,https://mapservices.nps.gov/arcgis/rest/services/,nps.gov,mapservices.nps.gov,,text/html,TRUE,TRUE,TRUE,TRUE,Department of the Interior,National Park Service,200,TRUE,completed
Redirects to www,Never filtered out,-,nesdis.noaa.gov,noaa.gov,https://www.nesdis.noaa.gov/,noaa.gov,www.nesdis.noaa.gov,,text/html,TRUE,TRUE,TRUE,FALSE,Department of Commerce,National Oceanic and Atmospheric Administration,200,TRUE,completed
Redirects to a subfolder,Never filtered out,-,montana.va.gov,va.gov,https://www.va.gov/montana-health-care/,va.gov,www.va.gov,https://www.va.gov/montana-health-care/,text/html,TRUE,TRUE,TRUE,FALSE,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",200,FALSE,completed
Redirects to a long URL homepage,Never filtered out,-,valu.va.gov,va.gov,https://valu.va.gov/Home/Index,va.gov,valu.va.gov,,text/html,TRUE,TRUE,TRUE,TRUE,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",200,FALSE,unknown_error
Redirects to a .com,Never filtered out,-,picturethis.pnl.gov,pnl.gov,https://www.flickr.com/photos/pnnl/albums,flickr.com,www.flickr.com,/photos/pnnl/albums/,text/html,TRUE,TRUE,FALSE,FALSE,Department of Energy,Pacific Northwest National Laboratory,200,FALSE,completed
Redirects to another website on the same domain,Never filtered out,-,ftp.census.gov,census.gov,https://www2.census.gov/,census.gov,www2.census.gov,,text/html,TRUE,TRUE,TRUE,FALSE,Department of Commerce,U.S. Census Bureau,200,FALSE,unknown_error
Redirects to a subfolder on another website on the same domain,Never filtered out,-,neworleans.fbi.gov,fbi.gov,https://www.fbi.gov/contact-us/field-offices/neworleans,fbi.gov,www.fbi.gov,https://www.fbi.gov/contact-us/field-offices/neworleans,text/html,TRUE,TRUE,TRUE,FALSE,Department of Justice,FBI,200,FALSE,completed
Redirects to a subfolder on a different domain,Never filtered out,-,pscr.gov,pscr.gov,https://www.nist.gov/ctl/pscr,nist.gov,www.nist.gov,https://www.nist.gov/ctl/pscr,text/html,TRUE,TRUE,FALSE,FALSE,Department of Commerce,National Institute of Standards and Technology (NIST),200,FALSE,completed
Redirects to a website on another domain,Never filtered out,-,nij.gov,nij.gov,https://nij.ojp.gov/,ojp.gov,nij.ojp.gov,https://nij.ojp.gov/%3Cfront%3E,text/html,TRUE,TRUE,FALSE,FALSE,Department of Justice,Office of Justice Programs ,200,TRUE,completed
Redirects to a different domain,Never filtered out,-,www.usss.gov,usss.gov,https://www.secretservice.gov/,secretservice.gov,www.secretservice.gov,https://www.secretservice.gov/node/1,text/html,TRUE,TRUE,FALSE,FALSE,Department of Homeland Security,United States Secret Service,200,FALSE,completed
Redirects to a homepage on another website on the same domain,Never filtered out,-,agcounts.usda.gov,usda.gov,https://portal.agcounts.usda.gov/portal/s/,usda.gov,portal.agcounts.usda.gov,,text/html,TRUE,TRUE,TRUE,FALSE,U.S. Department of Agriculture,USDA,200,TRUE,unknown_error
Spot on normal,Never filtered out,-,www.epa.gov,epa.gov,https://www.epa.gov/,epa.gov,www.epa.gov,https://www.epa.gov/,text/html,TRUE,FALSE,TRUE,TRUE,Environmental Protection Agency,Environmental Protection Agency,200,TRUE,completed
