OMB,OMB,NARA,NARA,OPM,OPM,Federal_Register,Federal_Register,ECFR,ECFR,regulations.gov,us_govt_manual,usa.gov,usaspending.gov,get.gov,get.gov,OMB-23-22,OMB-23-22,MySales,MySales,MySales,LDA,ACUS,ACUS,GAO,CISA
,,,,,,,,,,,,,,United States Agency for Global Media,IBB/VOA/BBG,United States Agency for Global Media,IBB ,,,,,,,,
,,,,,,,,,,,,,,United States Agency for Global Media,International Broadcasting Advisory Board,United States Agency for Global Media,IBB/VOA/BBG,,,,,,,,
,,,,,,,,,,,,,,United States Agency for Global Media,Office of Cuba Broadcasting,United States Agency for Global Media,VOA,,,,,,,,
,,,,,,,,,,,,,,United States Agency for Global Media,VOA,,,,,,,,,,
International Assistance Programs,Agency for International Development    ,Independent Agencies,United States Agency for International Development,,,International Development Cooperation Agency,Agency for International Development,,,U.S. Agency for International Development,United States Agency for International Development,U.S. Agency for International Development,Agency for International Development,U.S. Agency for International Development,Bureau for Global Health,U.S. Agency for International Development,AFR ES,Agency for International Development,72,0,U.S. Agency for International Development (USAID),,(under state),U.S. Agency for International Development,United States Agency for International Development
,,,,,,International Development Cooperation Agency,,,,,,,,U.S. Agency for International Development,Bureau for Resilience and Food Security (RFS),U.S. Agency for International Development,Bureau for Resilience and Food Security (RFS),,,,,,,,
,,,,,,,,,,,,,,U.S. Agency for International Development,Foreign Assistance Office (F/PPS),U.S. Agency for International Development,Foreign Assistance Office (F/PPS),,,,,,,,
,,,,,,,,,,,,,,U.S. Agency for International Development,M/CIO,U.S. Agency for International Development,GH,,,,,,,,
,,,,,,,,,,,,,,U.S. Agency for International Development,Office of the Director of U.S. Foreign Assistance,U.S. Agency for International Development,M/CIO,,,,,,,,
,,,,,,,,,,,,,,U.S. Agency for International Development,U.S. Agency for International Development,U.S. Agency for International Development,Office of the Director of U.S. Foreign Assistance,,,,,,,,
,,,,,,,,,,,,,,U.S. Agency for International Development,USAID/GH.CECA,,,,,,,,,,
--,,American Red Cross,,,,,,,,,,,,,,,,American National Red Cross,0,79,,,,,
Appalachian Regional Commission    ,,Appalachian Regional Commission,,APPALACHIAN REGIONAL COMMISSION AP,APPALACHIAN REGIONAL COMMISSION AP00,Appalachian Regional Commission,,Appalachian Regional Commission,,,,Appalachian Regional Commission,Appalachian Regional Commission,Appalachian Regional Commission,Appalachian Regional Commission,,,Appalachian Regional Commission,46,2,Appalachian Regional Comm,Appalachian Regional Commission,,,
,,Boards Commissions and Committees,Architectural and Transportation Barriers Compliance Board,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD BT,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD BT00,Architectural and Transportation Barriers Compliance Board,,Architectural and Transportation Barriers Compliance Board,--,Architectural and Transportation Barriers Compliance Board,,,,,,,,Architectural and Transportation Barriers Compliance Board,95,22,Architectural & Transportation Barriers Compliance Board,,,,
Other Defense Civil Programs,"Armed Forces Retirement Home    , ",Independent Agencies,Armed Forces Retirement Home,ARMED FORCES RETIREMENT HOME RH,ARMED FORCES RETIREMENT HOME RH00,Armed Forces Retirement Home,,Armed Forces Retirement Home,--,Armed Forces Retirement Home,,Armed Forces Retirement Home,Armed Forces Retirement Home,Armed Forces Retirement Home,Armed Forces Retirement Home,,,Armed Forces Retirement Home,84,0,,,,,Armed Forces Retirement Home
,,,,,,,,,,,,,,,,,,United States Soldiers' and Airmen's Home,84,1,,,,,
,,,,,,,,,,,,,,,,,,United States Naval Home,84,2,,,,,
,,Independent Agencies,United States Arctic Research Commission,ARCTIC RESEARCH COMMISSION AW,ARCTIC RESEARCH COMMISSION AW00,Arctic Research Commission,,Arctic Research Commission,--,Arctic Research Commission,,U.S. Arctic Research Commission,,(also under nsf),,,,,,,,,,,
Barry Goldwater Scholarship and Excellence in Education Foundation,,Boards Commissions and Committees,Barry Goldwater Scholarship and Excellence in Education Foundation,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION GE,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION GE00,,,,,,,,Barry Goldwater Scholarship and Excellence In Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,,,,Barry Goldwater Scholarship and Excellence in Education Foundation,,,Barry Goldwater Scholarship and Excellence in Education Foundation
Central Intelligence Agency    ,,Independent Agencies,Central Intelligence Agency,,,Central Intelligence Agency,,Central Intelligence Agency,--,Central Intelligence Agency,Central Intelligence Agency,Central Intelligence Agency,,Central Intelligence Agency,Central Intelligence Agency,,,Central Intelligence Agency,56,0,Central Intelligence Agency (CIA),Central Intelligence Agency,,,
,,,,,,,,,,,,,,Central Intelligence Agency,CIA\GCS OSEG,,,,,,,,,,
,,,,,,,,,,,,,,Central Intelligence Agency,DNI Open Source Center,,,,,,,,,,
Chemical Safety and Hazard Investigation Board    ,,Boards Commissions and Committees,Chemical Safety and Hazard Investigation Board,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD FJ,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD FJ00,Chemical Safety and Hazard Investigation Board,,Chemical Safety and Hazard Investigation Board,--,Chemical Safety and Hazard Investigation Board,,U.S. Chemical Safety Board,United States Chemical Safety Board,U.S. Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,,,Chemical Safety Board,95,50,U.S. Chemical Safety & Hazard Investigation Board,Chemical Safety and Hazard Investigation Board,,,Chemical Safety Board
,,Boards Commissions and Committees,U.S. Commission for the Preservation of America’s Heritage Abroad,,,,,,,,,,Commission for the Preservation of America's Heritage Abroad,U.S. Commission for the Preservation of Americas Heritage Abroad,U.S. Commission for the Preservation of America's Heritage Abroad,U.S. Commission for the Preservation of Americas Heritage Abroad,U.S. Commission for the Preservation of America's Heritage Abroad,Commission for the Preservation of America's Heritage Abroad,95,37,,,,,
Commodity Futures Trading Commission    ,,Independent Agencies,Commodity Futures Trading Commission,COMMODITY FUTURES TRADING COMMISSION CT,COMMODITY FUTURES TRADING COMMISSION CT00,Commodity Futures Trading Commission,,Commodity Futures Trading Commission,,Commodity Futures Trading Commission,Commodity Futures Trading Commission,U.S. Commodity Futures Trading Commission,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,,Commodity Futures Trading Commission,95,7,"Commodity Futures Trading Comm (CFTC),",Commodity Futures Trading Commission,,,Commodity Futures Trading Commission
Bureau of Consumer Financial Protection    ,,Independent Agencies,Bureau of Consumer Financial Protection,,,Consumer Financial Protection Bureau,,Consumer Financial Protection Bureau,--,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,,,,Board of Governors of the Federal Reserve System,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau
Consumer Product Safety Commission    ,,Independent Agencies,Consumer Product Safety Commission,CONSUMER PRODUCT SAFETY COMMISSION SK,CONSUMER PRODUCT SAFETY COMMISSION SK00,Consumer Product Safety Commission,,Consumer Product Safety Commission,--,Consumer Product Safety Commission,Consumer Product Safety Commission,Consumer Product Safety Commission,Consumer Product Safety Commission,Consumer Product Safety Commission,Consumer Product Safety Commission,,,Consumer Product Safety Commission,61,0,Consumer Product Safety Comm (CPSC),Consumer Product Safety Commission,,Consumer Product Safety Commission,Consumer Product Safety Commission
Corporation for National and Community Service    ,,Wholly-owned Government Corporation,Corporation for National and Community Service,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE KS,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE KS00,Corporation for National and Community Service,,"National and Community Service, Corporation for",--,Corporation for National and Community Service,Corporation for National and Community Service,,Corporation for National and Community Service,Corporation for National and Community Service,AmeriCorps,,,Corporation for National and Community Service,95,45,Corporation for Natl & Community Service,Corporation for National and Community Service,,,Corporation for National and Community Service
,,,,,,,,,,,,,,Corporation for National and Community Service,AmeriCorps Office of Inspector General,,,,,,,,,,
,,,,,,,,,,,,,,Corporation for National and Community Service,"Corporation for National and Community Service, Office Of Inspector General,",,,,,,,,,,
Corporation for Public Broadcasting    ,,Corporation for Public Broadcasting,,,,,,,,,,,,,,,,,,,Corporation for Public Broadcasting,Corporation for Public Broadcasting,,,
Civil Rights Cold Case Records Review Board    ,,Boards Commissions and Committees,Civil Rights Cold Case Records Review Board,,,Civil Rights Cold Case Records Review Board,,,,,,,,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,,,,,,,,,,
Commission on Civil Rights    ,,Independent Agencies,United States Commission on Civil Rights,COMMISSION ON CIVIL RIGHTS CC,COMMISSION ON CIVIL RIGHTS CC00,Civil Rights Commission,,"Civil Rights, Commission on",--,Civil Rights Commission,United States Commission on Civil Rights,Commission on Civil Rights,Commission on Civil Rights,U.S. Commission on Civil Rights,ASCD-CIO,,,Commission on Civil Rights,95,17,,,,,United States Commission on Civil Rights
,,,,,,,,,,,,,,U.S. Commission on Civil Rights,Commission on the Social Status of Black Men and Black Boys,,,,,,,,,,
Commission of Fine Arts    ,,Boards Commissions and Committees,U.S. Commission of Fine Arts,COMMISSION OF FINE ARTS CF,COMMISSION OF FINE ARTS CF00,Commission of Fine Arts,,"Fine Arts, Commission of",--,Commission of Fine Arts,,U.S. Commission of Fine Arts,Commission of Fine Arts,U.S. Commission of Fine Arts,U.S. Commission of Fine Arts,,,Commission of Fine Arts,95,20,U.S. Comm of Fine Arts,,,,Commission of Fine Arts
,,Boards Commissions and Committees,United States Commission on International Religious Freedom,U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM ZP,U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM ZP00,,,Commission for International Religious Freedom,48,,,U.S. Commission on International Religious Freedom,,U.S. Commission on International Religious Freedom,U.S. Commission on International Religious Freedom,,,,,,U.S. Comm on International Religious Freedom,,,,95
Committee for Purchase from People who are Blind or Severely Disabled,,,Committee for Purchase from People Who are Blind or Severely Disabled,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED HB,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED HB00,Committee for Purchase From People Who Are Blind or Severely Disabled,,"Blind or Severely Disabled, Committee for Purchase from People Who Are",--,Committee for Purchase From People Who Are Blind Or Severely Disabled,,U.S. AbilityOne Commission,Committee for Purchase from People Who Are Blind or Severely Disabled,United States AbilityOne Commission,Committee for Purchase From People Who Are Blind or Severely Disabled,,,Comm. For Purchase From Blind & Other Severely Hndcpd.,95,18,,,,,United States AbilityOne Commission
Council of the Inspectors General on Integrity and Efficiency    ,,Independent Agencies,Council of the Inspectors General on Integrity and Efficiency,,,Council of the Inspectors General on Integrity and Efficiency,,Council of the Inspectors General on Integrity and Efficiency,--,Council of the Inspectors General on Integrity and Efficiency,,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,,,,,,,,,Council of the Inspectors General on Integrity and Efficiency
Defense Nuclear Facilities Safety Board    ,,Independent Agencies,Defense Nuclear Facilities Safety Board,DEFENSE NUCLEAR FACILITIES SAFETY BOARD BF,DEFENSE NUCLEAR FACILITIES SAFETY BOARD BF00,Defense Nuclear Facilities Safety Board,,Defense Nuclear Facilities Safety Board,--,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,,,Defense Nuclear Facilities Safety Board,95,38,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,,,Defense Nuclear Facilities Safety Board
,,Delaware River Basin Commission,,,,Delaware River Basin Commission,,Delaware River Basin Commission,--,Delaware River Basin Commission,,Delaware River Basin Commission,,,,,,Delaware River Basin Commission,46,1,,,,,
Delta Regional Authority    ,,Delta Regional Authority,,,,,,,,,,Delta Regional Authority,Delta Regional Authority,Delta Regional Authority,Delta Regional Authority,Delta Regional Authority,Delta Regional Authority,,,,,Delta Regional Authority,,,
Denali Commission    ,,Boards Commissions and Committees,Denali Commission,DENALI COMMISSION DQ,DENALI COMMISSION DQ00,Denali Commission,,Denali Commission,--,Denali Commission,,Denali Commission,Denali Commission,Denali Commission,Denali Commission,Denali Commission,Denali Commission,Denali Commission,95,67,,,,,Denali Commission
Department of Agriculture,Agricultural Marketing Service    ,Department of Agriculture,Agricultural Marketing Service,DEPARTMENT OF AGRICULTURE AG,OFFICE OF THE SECRETARY OF AGRICULTURE AG01,Agriculture Department,,"Agriculture, Department of",--,Department of Agriculture,Department of Agriculture,U.S. Department of Agriculture,Department of Agriculture,U.S. Department of Agriculture,Agricultural Research Service,U.S. Department of Agriculture,Agricultural Research Service,Department of Agriculture,12,0,"Agriculture, Dept of (USDA)",Department of Agriculture,Agricultural Marketing Service,Department of Agriculture,United States Department of Agriculture
Department of Agriculture,Agricultural Research Service    ,Department of Agriculture,Agricultural Research Service,DEPARTMENT OF AGRICULTURE AG,AGRICULTURAL MARKETING SERVICE AG02,Agriculture Department,Advocacy and Outreach Office,"Agriculture, Department of",Agricultural Marketing Service,,,,,U.S. Department of Agriculture,Aviation Management Directorate,U.S. Department of Agriculture,Aviation Management Directorate,Farm Service Agency,12,1,,Department of Agriculture,Agricultural Research Service,,
Department of Agriculture,Animal and Plant Health Inspection Service    ,Department of Agriculture,Animal and Plant Health Inspection Service,DEPARTMENT OF AGRICULTURE AG,AGRICULTURAL RESEARCH SERVICE AG03,Agriculture Department,Agricultural Marketing Service,"Agriculture, Department of",Agricultural Research Service,,,,,U.S. Department of Agriculture,National Advanced Fire and Resource Institute,U.S. Department of Agriculture,National Advanced Fire and Resource Institute,National Agricultural Statistics Service,12,2,,Department of Agriculture,Animal and Plant Health Inspection Service,,
Department of Agriculture,Buildings and Facilities    ,Department of Agriculture,Commodity Credit Corporation,DEPARTMENT OF AGRICULTURE AG,RURAL HOUSING SERVICE AG07,Agriculture Department,Agricultural Research Service,"Agriculture, Department of",Animal and Plant Health Inspection Service,,,,,U.S. Department of Agriculture,National Agricultural Library,U.S. Department of Agriculture,National Agricultural Library,Agricultural Marketing Service,12,3,,Department of Agriculture,Commodity Credit Corporation,,
Department of Agriculture,Department of Agriculture    ,Department of Agriculture,Economic Research Service,DEPARTMENT OF AGRICULTURE AG,RISK MANAGEMENT AGENCY AG08,Agriculture Department,Animal and Plant Health Inspection Service,"Agriculture, Department of",Commodity Credit Corporation,,,,,U.S. Department of Agriculture,National Finance Center,U.S. Department of Agriculture,National Finance Center,Agricultural Research Service,12,5,,Department of Agriculture,Economic Research Service,,
Department of Agriculture,Economic Research Service    ,Department of Agriculture,Farm Service Agency,DEPARTMENT OF AGRICULTURE AG,FOREIGN AGRICULTURAL SERVICE AG10,Agriculture Department,Commodity Credit Corporation,"Agriculture, Department of",Economic Research Service,,,,,U.S. Department of Agriculture,National Wildfire Coordinating Group,U.S. Department of Agriculture,National Wildfire Coordinating Group,Office of Small and Disadvantaged Business Utilization,12,6,,Department of Agriculture,Farm Service Agency,,
Department of Agriculture,Executive Operations    ,Department of Agriculture,Federal Crop Insurance Corporation,DEPARTMENT OF AGRICULTURE AG,FOREST SERVICE AG11,Agriculture Department,"Cooperative State Research, Education, and Extension Service","Agriculture, Department of",Farm Service Agency,,,,,U.S. Department of Agriculture,OCIO/DISC,U.S. Department of Agriculture,Office of Energy Policy and New Uses,Rural Development Administration,12,7,,Department of Agriculture,Federal Crop Insurance Corporation,,
Department of Agriculture,Farm Production and Conservation    ,Department of Agriculture,Food and Nutrition Service,DEPARTMENT OF AGRICULTURE AG,OFFICE OF COMMUNICATIONS AG13,Agriculture Department,Economic Analysis Staff,"Agriculture, Department of",Federal Crop Insurance Corporation,,,,,U.S. Department of Agriculture,Office of Communications,U.S. Department of Agriculture,Recreation One Stop,Office of the Chief Information Officer,12,9,,Department of Agriculture,Food and Nutrition Service,,
Department of Agriculture,Farm Service Agency    ,Department of Agriculture,Food Safety and Inspection Service,DEPARTMENT OF AGRICULTURE AG,OFFICE OF THE GENERAL COUNSEL AG14,Agriculture Department,Economic Research Service,"Agriculture, Department of",Food and Nutrition Service,,,,,U.S. Department of Agriculture,Office of Energy Policy and New Uses,U.S. Department of Agriculture,Rural Development,"Cooperative State Research, Education, and Extension Service",12,10,,Department of Agriculture,Food Safety and Inspection Service,,
Department of Agriculture,Food and Nutrition Service    ,Department of Agriculture,Foreign Agricultural Service,DEPARTMENT OF AGRICULTURE AG,RURAL UTILITIES SERVICE AG15,Agriculture Department,Farm Production and Conservation Business Center,"Agriculture, Department of",Food Safety and Inspection Service,,,,,U.S. Department of Agriculture,Office of the Chief Information Officer,U.S. Department of Agriculture,U.S. Department of Agriculture,Office of Administrative Systems (Exp. Code),12,11,,Department of Agriculture,Foreign Agricultural Service,,
Department of Agriculture,Food Safety and Inspection Service    ,Department of Agriculture,Forest Service,DEPARTMENT OF AGRICULTURE AG,NATURAL RESOURCES CONSERVATION SERVICE AG16,Agriculture Department,Farm Service Agency,"Agriculture, Department of",Foreign Agricultural Service,,,,,U.S. Department of Agriculture,Recreation One Stop,U.S. Department of Agriculture,US Forest Service,Office of the Chief Information Officer - Washington Telecommunications Services and Operations,12,14,,Department of Agriculture,Forest Service,,
Department of Agriculture,Foreign Agricultural Service    ,Department of Agriculture,National Agricultural Statistics Service,DEPARTMENT OF AGRICULTURE AG,ECONOMIC RESEARCH SERVICE AG18,Agriculture Department,Federal Crop Insurance Corporation,"Agriculture, Department of",Forest Service,,,,,U.S. Department of Agriculture,Rural Development,U.S. Department of Agriculture,USDA - Center for Nutrition Policy and Promotion,Rural Housing Service,12,15,,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,
Department of Agriculture,Forest Service    ,Department of Agriculture,National Institute of Food and Agriculture,DEPARTMENT OF AGRICULTURE AG,NATIONAL AGRICULTURAL STATISTICS SERVICE AG20,Agriculture Department,Food and Consumer Service,"Agriculture, Department of",National Agricultural Statistics Service,,,,,U.S. Department of Agriculture,U.S. Department of Agriculture,U.S. Department of Agriculture,USDA Forest Service - Southwestern Region,Risk Management Agency,12,17,,Department of Agriculture,National Agricultural Statistics Service,,
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration    ",Department of Agriculture,Natural Resources Conservation Service,DEPARTMENT OF AGRICULTURE AG,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE AG22,Agriculture Department,Food and Nutrition Service,"Agriculture, Department of",National Institute of Food and Agriculture,,,,,U.S. Department of Agriculture,US Forest Service,U.S. Department of Agriculture,"USDA, ARS, NAL",Foreign Agricultural Service,12,21,,Department of Agriculture,National Institute of Food and Agriculture,,
Department of Agriculture,Hazardous Materials Management    ,Department of Agriculture,Risk Management Agency,DEPARTMENT OF AGRICULTURE AG,OFFICE OF THE INSPECTOR GENERAL AG23,Agriculture Department,Food Safety and Inspection Service,"Agriculture, Department of",Natural Resources Conservation Service,,,,,U.S. Department of Agriculture,USDA - Agriculteral Marketing Service,U.S. Department of Agriculture,"USDA, Office of Communications",Office of Chief Information Officer - National Information Technology Center,12,22,,Department of Agriculture,Natural Resources Conservation Service,,
Department of Agriculture,National Agricultural Statistics Service    ,Department of Agriculture,Rural Business - Cooperative Service,DEPARTMENT OF AGRICULTURE AG,FOOD AND NUTRITION SERVICE AG30,Agriculture Department,Foreign Agricultural Service,"Agriculture, Department of",Office of Advocacy and Outreach,,,,,U.S. Department of Agriculture,USDA - Center for Nutrition Policy and Promotion,U.S. Department of Agriculture,USDA/ARS/NAL,Forest Service,12,23,,Department of Agriculture,Risk Management Agency,,
Department of Agriculture,National Institute of Food and Agriculture    ,Department of Agriculture,Rural Housing Service,DEPARTMENT OF AGRICULTURE AG,RURAL BUSINESS AG32,Agriculture Department,Forest Service,"Agriculture, Department of",Office of Chief Financial Officer,,,,,U.S. Department of Agriculture,USDA Forest Service - Southwestern Region,,,Office of the General Counsel,12,25,,Department of Agriculture,Rural Business-Cooperative Service,,
Department of Agriculture,Natural Resources Conservation Service    ,Department of Agriculture,Rural Utilities Service,DEPARTMENT OF AGRICULTURE AG,ANIMAL AND PLANT HEALTH INSPECTION SERVICE AG34,Agriculture Department,National Agricultural Library,"Agriculture, Department of",Office of Energy Policy and New Uses,,,,,U.S. Department of Agriculture,"USDA, ARS, NAL",,,"Federal Grain Inspection, Packers, and Stockyards Administration",12,26,,Department of Agriculture,Rural Housing Service,,
Department of Agriculture,Office of Chief Financial Officer    ,Department of Agriculture,,DEPARTMENT OF AGRICULTURE AG,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION AG36",Agriculture Department,National Agricultural Statistics Service,"Agriculture, Department of",Office of Environmental Quality,,,,,U.S. Department of Agriculture,"USDA, Office of Communications",,,Office of Communications,12,27,,Department of Agriculture,Rural Utilities Service,,
Department of Agriculture,Office of Chief Information Officer    ,,,DEPARTMENT OF AGRICULTURE AG,FOOD SAFETY AND INSPECTION SERVICE AG37,Agriculture Department,National Institute of Food and Agriculture,"Agriculture, Department of",Office of Information Resources Management,,,,,U.S. Department of Agriculture,USDA/ARS/NAL,,,Food and Consumer Services,12,30,,Department of Agriculture,,,
Department of Agriculture,Office of Civil Rights    ,,,DEPARTMENT OF AGRICULTURE AG,OFFICE OF THE CHIEF ECONOMIST AG38,Agriculture Department,Natural Resources Conservation Service,"Agriculture, Department of",Office of Inspector General,,,,,U.S. Department of Agriculture,USDA/OC,,,Rural Utilities Services,12,31,,,,,
Department of Agriculture,Office of Inspector General    ,,,DEPARTMENT OF AGRICULTURE AG,OFFICE OF BUDGET AND PROGRAM ANALYSIS AG42,Agriculture Department,Operations Office,"Agriculture, Department of",Office of Operations,,,,,,,,,Office of the Chief Information Officer National Telecommunications Services and Operations,12,32,,,,,
Department of Agriculture,Office of the General Counsel    ,,,DEPARTMENT OF AGRICULTURE AG,OFFICE OF THE CHIEF FINANCIAL OFFICER AG90,Agriculture Department,Partnerships and Public Engagement Office,"Agriculture, Department of",Office of Procurement and Property Management,,,,,,,,,Office of the Secretary,12,33,,,,,
Department of Agriculture,Office of the Secretary    ,,,DEPARTMENT OF AGRICULTURE AG,CIVIL RIGHTS AGCR,Agriculture Department,"Procurement and Property Management, Office of","Agriculture, Department of",Office of Secretary of Agriculture,,,,,,,,,Animal and Plant Health Inspection Service (DHS Code 7053),12,34,,,,,
Department of Agriculture,Risk Management Agency    ,,,DEPARTMENT OF AGRICULTURE AG,DEPARTMENTAL ADMINISTRATION AGDA,Agriculture Department,Risk Management Agency,"Agriculture, Department of",Office of Transportation,,,,,,,,,Natural Resources Conservation Service,12,35,,,,,
Department of Agriculture,Rural Business-Cooperative Service    ,,,DEPARTMENT OF AGRICULTURE AG,OFFICE OF THE EXECUTIVE SECRETARIAT AGES,Agriculture Department,Rural Business-Cooperative Service,"Agriculture, Department of",Rural Business-Cooperative Service,,,,,,,,,grain insp packrs/stkyd,12,36,,,,,
Department of Agriculture,Rural Development    ,,,DEPARTMENT OF AGRICULTURE AG,FARM SERVICE AGENCY AGFA,Agriculture Department,Rural Housing and Community Development Service,"Agriculture, Department of",Rural Housing Service,,,,,,,,,Food Safety and Inspection Service,12,37,,,,,
Department of Agriculture,Rural Housing Service    ,,,DEPARTMENT OF AGRICULTURE AG,HOMELAND SECURITY STAFF AGHL,Agriculture Department,Rural Housing Service,"Agriculture, Department of",Rural Utilities Service,,,,,,,,,office of the cio nitc -,12,38,,,,,
Department of Agriculture,Rural Utilities Service    ,,,DEPARTMENT OF AGRICULTURE AG,OFFICE OF THE CHIEF INFORMATION OFFICER AGIT,Agriculture Department,Rural Telephone Bank,"Agriculture, Department of",World Agricultural Outlook Board,,,,,,,,,office of administrative,12,39,,,,,
,,,,DEPARTMENT OF AGRICULTURE AG,NATIONAL APPEALS DIVISION AGNA,Agriculture Department,Rural Utilities Service,,,,,,,,,,,Civil Rights Enforcement and Adjudication,12,40,,,,,
,,,,,,Agriculture Department,Transportation Office,,,,,,,,,,,Office of Budget and Program Analysis,12,41,,,,,
,,,,,,Agriculture Department,U.S. Codex Office,,,,,,,,,,,human resources manageme,12,42,,,,,
