title,description,keywords,domain,agency,bureau
,,,uatsmpship.acl.gov,Department of Health and Human Services,Administration for Community Living
,,,uatstars.acl.gov,Department of Health and Human Services,Administration for Community Living
Page not found,,,weaad.acl.gov,Department of Health and Human Services,Administration for Community Living
Acquisition Gateway,,,acquisitiongateway.gov,General Services Administration,"GSA, FAS, Office of Enterprise Strategy Management"
Home | Acquisition.GOV,,,www.acquisition.gov,General Services Administration,"GSA, IC, Acquisition"
,,,login.acquisition.gov,General Services Administration,"GSA, IC, Acquisition"
Home | Administrative Conference of the United States,,,www.acus.gov,Administrative Conference of the United States,Administrative Conference of the United States
,,,eaja.acus.gov,Administrative Conference of the United States,Administrative Conference of the United States
,,,sourcebook.acus.gov,Administrative Conference of the United States,Administrative Conference of the United States
,"The ADA Home Page provides access to Americans with Disabilities Act (ADA) regulations for businesses and State and local governments, technical assistance materials, ADA Standards for Accessible Design, links to Federal agencies with ADA responsibilities and information, updates on new ADA requirements, streaming video, information about Department of Justice ADA settlement agreements, consent decrees, and enforcement activities and access to Freedom of Information Act (FOIA) ADA material",,archive.ada.gov,Department of Justice,Civil Rights Division
,,,search.ada.gov,Department of Justice,Civil Rights Division
,"The Adams Memorial Commission (AMC) is a congressional commission created to establishing a memorial for John Adams, Abigail Adams, John Quincy Adams, Louisa Catherine Adams, Henry Adams, Charles Adams and the Adams Family.",,adams.gov,Adams Memorial Commission,Adams Memorial Commission
ADL Initiative,"The Advanced Digital Learning (ADL) Initiative is a government program reporting to the Defense Human Resources Activity (DHRA), under the Director, DHRA.",,www.adlnet.gov,Department of Defense,Advanced Distributed Learning Initiative
,ADL's open LRS,,lrs.adlnet.gov,Department of Defense,Advanced Distributed Learning Initiative
,,,search.adr.gov,Federal Mediation and Conciliation Service,Office of Conflict Management and Prevention
Login,GSA Advantage is an online shopping and ordering system that provides access to thousands of contractors with millions of products and services.,"GSA Advantage, GSA, Advantage, Shopping, Contractors, General Service Administration, Products, Services",www.afadvantage.gov,General Services Administration,"GSA, FAS, Advantage"
Automated Flight Following (AFF),"AFF is GPS-based computer software first developed in 2000. Using a map-based interface, an authorized user can identify, view, and monitor the location of government-registered aircraft, in the air or on the ground. AFF can automatically track specially equipped aircraft, providing location and velocity information in near-real-time to dispatchers and aviation personnel.",Automated Flight Following,www.aff.gov,U.S. Department of Agriculture,Aviation Management Directorate
,,,afcca.law.af.mil,Department of Defense,Air Force
,,,aflegalassistance.law.af.mil,Department of Defense,Air Force
,,,afpcsecure.us.af.mil,Department of Defense,Air Force
,,,afrba-portal.cce.af.mil,Department of Defense,Air Force
,,,afrba-portal.prod.azure.cce.af.mil,Department of Defense,Air Force
,,,afsas.safety.af.mil,Department of Defense,Air Force
Airman Magazine,,,www.airmanmagazine.af.mil,Department of Defense,Air Force
,,,boards.law.af.mil,Department of Defense,Air Force
,C1 Public-Facing Web App,,cloudone.af.mil,Department of Defense,Air Force
,,,daflearning.af.mil,Department of Defense,Air Force
,"From design and development to analytics and project management, there's a transformative and rewarding learning path for everyone at Digital University.",,digitalu.af.mil,Department of Defense,Air Force
U.S. Air Force Doctrine > Home,,,www.doctrine.af.mil,Department of Defense,Air Force
,,,federation.prod.cce.af.mil,Department of Defense,Air Force
Home | An Official Air Force Benefits Website,MyAirForceBenefits is the Official Air Force Benefits Website. Forecast Your Retirement Benefits. Calculate Estimates of Your Survivor and Survivor Education Benefits. Browse Over 150 Fact Sheets for Benefit Eligibility and Highlights.,,myairforcebenefits.us.af.mil,Department of Defense,Air Force
,,,myfss.us.af.mil,Department of Defense,Air Force
,,,myvector.us.af.mil,Department of Defense,Air Force
,,,search.af.mil,Department of Defense,Air Force
,US Air Force DevSecOps: Agility. Security. Excellence.,,software.af.mil,Department of Defense,Air Force
,,,ww3.safaq.hq.af.mil,Department of Defense,Air Force
,,,europe.afn.mil,Department of Defense,
,,,pacific.afn.mil,Department of Defense,
,,,apps.tucson.ars.ag.gov,U.S. Department of Agriculture,U.S. Department of Agriculture
Aging Stats,,,agingstats.gov,Department of Health and Human Services,Administration for Community Living
,,,acts.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
| Agency for Healthcare Research and Quality,"AHRQ advances excellence in healthcare by producing evidence to make healthcare safer, higher quality, more accessible, equitable, and affordable.",Home page keywords,www.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,Official site for archive material of the Agency for Healthcare Research and Quality (AHRQ),"ahcpr, agency for health care policy and research, ahrq, agency for healthcare research and quality, AHRQ, Agency for Healthcare Research and Quality, AHCPR",archive.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,arrs.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,arrstest.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
Server Unavailable,,,cahpsdatabase.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,cdp.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,cds-authoring.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,cdsic.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,cmext.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,dam.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,datatools.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,dataviz.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,AHRQ’s Digital Healthcare Research (DHR) program’s mission is to determine how the various components of the ever-evolving digital healthcare ecosystem can best come together to positively affect healthcare delivery and create value for patients and their families.,,digital.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,digital-team.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,docs.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,docstest.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
Effective Health Care (EHC) Program,,,effectivehealthcare.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,eft.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,efti.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,epc-src.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,epssdata.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,evidence.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,Secure Enterprise File Share and Sync Solution,,filecloud.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,grs.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
HCUP-US Home Page,,,hcup-us.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,id.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
Login,The AHRQ Academy provides tools and resources to help increase behavioral health and primary care integration.,,integrationacademy.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
IQDNET,,,iqdnet.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,journal.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
Medical Expenditure Panel Survey Home,"The Medical Expenditure Panel Survey is a set of large-scale surveys of families and individuals, their medical providers, and employers across the United States.","Survey, Expenses, Medical Expenditures, Data, Expenditures, Health Care Costs, Household Surveys, Insurance, Health Insurance, Health Care Coverage, Public Use Files, Acess to Care, Diabetes, Asthma, Prescription Drugs, Obesity, Uninsured.",meps.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,mobile.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,ocdashboard.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,pcornomination.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,pcornominationtest.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
Home | PSO,,,pso.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
AHRQ Quality Indicators,AHRQ Quality Indicators,,qualityindicators.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,search.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
Server Unavailable,,,sopsdatabase.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,srdrplus.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,takeheart.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,uspstfnominations.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,view2.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
,,,view.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality
Air Knowledge,AirKnowledge is a partnership training program in                  the U.S. Environmental Protection Agency’s (EPA’s) Office of                  Air Quality Planning and Standards (OAQPS). AirKnowledge                  develops training material focused on the Clean Air Act                  program areas managed by OAQPS. This website is intended for                  use by the public and EPA staff.,,airknowledge.gov,Environmental Protection Agency,Environmental Protection Agency
,"AirNow es su fuente única de datos sobre la calidad del aire. Nuestro sitio recientemente rediseñado destaca primero la calidad del aire en su área local, al mismo tiempo que proporciona información sobre la calidad del aire a nivel estatal, nacional y mundial.",,espanol.airnow.gov,Environmental Protection Agency,Environmental Protection Agency
,This map shows fine particle pollution (PM2.5) from wildfires and other sources. It provides a public resource of information to best prepare and manage wildfire season. Developed in a joint partnership between the EPA and USFS.,"Wildfire, Smoke, Air Quality, Protective Actions, PM2.5",fire.airnow.gov,Environmental Protection Agency,Environmental Protection Agency
,This map shows fine particle pollution (PM2.5) from wildfires and other sources. It provides a public resource of information to best prepare and manage wildfire season. Developed in a joint partnership between the EPA and USFS.,"Wildfire, Smoke, Air Quality, Protective Actions, PM2.5",mobilefire.airnow.gov,Environmental Protection Agency,Environmental Protection Agency
Alzheimers.gov,"Find information on Alzheimer’s disease and related dementias. Explore resources from federal government agencies for people with dementia, caregivers, families, and professionals.",,www.alzheimers.gov,Department of Health and Human Services,"National Institutes on Aging, NIH"
,,,analytics.america.gov,Department of State,Bureau of Global Public Affairs (GPA)
,"ShareAmerica is a place for the best social content on democracy, freedom of expression, innovation, entrepreneurship, education, science and civil society.",,archive-share.america.gov,Department of State,Bureau of Global Public Affairs (GPA)
,,,e.america.gov,Department of State,Bureau of Global Public Affairs (GPA)
,,,lab.edit.america.gov,Department of State,Bureau of Global Public Affairs (GPA)
,"The mission of the U.S. Embassy is to advance the interests of the United States, and to serve and protect U.S. citizens in [country].",,publications.america.gov,Department of State,Bureau of Global Public Affairs (GPA)
,"ShareAmerica is a place for the best social content on democracy, freedom of expression, innovation, entrepreneurship, education, science and civil society.",,share.america.gov,Department of State,Bureau of Global Public Affairs (GPA)
,,,techcamp.edit.america.gov,Department of State,Bureau of Global Public Affairs (GPA)
,,,account.americorps.gov,Corporation for National and Community Service,AmeriCorps
Home | AmeriCorps,,,www.americorps.gov,Corporation for National and Community Service,AmeriCorps
,,,data.americorps.gov,Corporation for National and Community Service,AmeriCorps
,,,fqt1my.americorps.gov,Corporation for National and Community Service,AmeriCorps
,,,my.americorps.gov,Corporation for National and Community Service,AmeriCorps
,,,promote.americorps.gov,Corporation for National and Community Service,AmeriCorps
,,,questions.americorps.gov,Corporation for National and Community Service,AmeriCorps
Home | AmeriCorps,,,www.americorpsoig.gov,Corporation for National and Community Service,AmeriCorps Office of Inspector General
,,,al-iproxy.ameslab.gov,Department of Energy,Ames Laboratory
Sensitive Instrument Facility | Sensitive Instrument Facility,,,sif.ameslab.gov,Department of Energy,Ames Laboratory
AMTRAK Office Of Inspector General | Independence. Objectivity. Oversight.,,,amtrakoig.gov,AMTRAK,Office of Inspector General
Anchor It,"New Federal Rule to Prevent Furniture Tip-Over Injuries and Death; Effective September 1, 2023. What Does it Mean for Consumers? View and Print Tip Card Here.",,www.anchorit.gov,Consumer Product Safety Commission,Consumer Product Safety Commission
,,,11bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,12bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,12id.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,2idb.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,7bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,7id.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
Home | Argonne Leadership Computing Facility,,,alcf.anl.gov,Department of Energy,Argonne National Laboratory
,,,amun.aps.anl.gov,Department of Energy,Argonne National Laboratory
,"Active Thermochemical Tables (ATcT) are a new paradigm in thermochemistry, which produces accurate, reliable, and selfconsistent thermodynamic values.","ATcT thermochemistry, Active Thermochemical Tables, ATcT, Active Tables, thermochemical network, thermochemistry, thermodynamics, Branko Ruscic",atct.anl.gov,Department of Energy,Argonne National Laboratory
,,,awe.metagenomics.anl.gov,Department of Energy,Argonne National Laboratory
,,,bioseed.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,This website provides up-to-date information on the BLM's Solar Energy Permitting Resources.,,blmsolar.anl.gov,Department of Energy,Argonne National Laboratory
,,,blmwyomingvisual.anl.gov,Department of Energy,Argonne National Laboratory
,,,blocked.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,blogs.anl.gov,Department of Energy,Argonne National Laboratory
,,,cardinal.cels.anl.gov,Department of Energy,Argonne National Laboratory
,,,caterpie.ls.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,centraldocs.aps.anl.gov,Department of Energy,Argonne National Laboratory
The Center for Nanoscale Materials,,,cnm.anl.gov,Department of Energy,Argonne National Laboratory
,"The Core Model Viewer is a resource for the exploration, comparison, and analysis of central carbon core metabolic models.",,coremodels.mcs.anl.gov,Department of Energy,Argonne National Laboratory
West-wide Energy Corridor Information Center,,,corridoreis.anl.gov,Department of Energy,Argonne National Laboratory
,,,dag.cels.anl.gov,Department of Energy,Argonne National Laboratory
,,,dashboard.ioc.anl.gov,Department of Energy,Argonne National Laboratory
,,,dlsr-workshop-2014.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,docs.alcf.anl.gov,Department of Energy,Argonne National Laboratory
,EICweb - Gitlab for the EIC User Group Community,,eicweb.phy.anl.gov,Department of Energy,Argonne National Laboratory
,,,elogsrv1.phy.anl.gov,Department of Energy,Argonne National Laboratory
,EPICS - Experimental Physics and Industrial Control System,"EPICS,software,process control,scientific software",epics.anl.gov,Department of Energy,Argonne National Laboratory
,,,events.cels.anl.gov,Department of Energy,Argonne National Laboratory
,,,evsgeoportal.evs.anl.gov,Department of Energy,Argonne National Laboratory
Argonne Training Program on Extreme-Scale Computing,,,extremecomputingtraining.anl.gov,Department of Energy,Argonne National Laboratory
,,,ezmt.anl.gov,Department of Energy,Argonne National Laboratory
,,,filesender.egs.anl.gov,Department of Energy,Argonne National Laboratory
,,,foci.anl.gov,Department of Energy,Argonne National Laboratory
,APS Software Collaboration,,git.aps.anl.gov,Department of Energy,Argonne National Laboratory
,APS Software Collaboration,,git-d.aps.anl.gov,Department of Energy,Argonne National Laboratory
,GitLab Community Edition,,gitlab.phy.anl.gov,Department of Energy,Argonne National Laboratory
,CELS Git Services,,gitlab-vmw-09.cels.anl.gov,Department of Energy,Argonne National Laboratory
,ANL EGS,,git-out.gss.anl.gov,Department of Energy,Argonne National Laboratory
,,,help.cels.anl.gov,Department of Energy,Argonne National Laboratory
,,,hpcat.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,hptrworkshop2014.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,idc14.ser.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,indianaharbor.evs.anl.gov,Department of Energy,Argonne National Laboratory
,Advanced Photon Source - an Office of Science user facility,,inside.aps.anl.gov,Department of Energy,Argonne National Laboratory
,U.S. Support Program to the International Atomic Energy Agency,,international.anl.gov,Department of Energy,Argonne National Laboratory
,,,ionia.aps.anl.gov,Department of Energy,Argonne National Laboratory
JLSE | Joint Laboratory for System Evaluation,,,www.jlse.anl.gov,Department of Energy,Argonne National Laboratory
,,,lcls.aps.anl.gov,Department of Energy,Argonne National Laboratory
Research Projects | Argonne Laboratory Computing Resource Center,,,lcrc.anl.gov,Department of Energy,Argonne National Laboratory
,Welcome to the Argonne Research Library's LibGuides Page! ,,libguides.anl.gov,Department of Energy,Argonne National Laboratory
,,,lilith.nec.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.alcf.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.bio.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.cels.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.cps.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.dsl.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.evs.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.extremecomputingtraining.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.jlse.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.lcrc.anl.gov,Department of Energy,Argonne National Laboratory
,,,lists.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,,,logbook.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,login.anl.gov,Department of Energy,Argonne National Laboratory
,,,login-dr.anl.gov,Department of Energy,Argonne National Laboratory
,,,lrlcatconnect.sgx.aps.anl.gov,Department of Energy,Argonne National Laboratory
Life Sciences Collaborative Access Team,,,ls.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,ltempeis.anl.gov,Department of Energy,Argonne National Laboratory
,,,mailman.aps.anl.gov,Department of Energy,Argonne National Laboratory
,matrix.bio.anl.gov; bioinformatics services; report generation,,matrix.bio.anl.gov,Department of Energy,Argonne National Laboratory
,Filter for physics events using anomaly detection based on deep unsupervised neural networks,"AdFilter, anomaly detection, LHC, ATLAS, CMS",mc.hep.anl.gov,Department of Energy,Argonne National Laboratory
,,,metis.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,midas.anl.gov,Department of Energy,Argonne National Laboratory
,,,midas.dis.anl.gov,Department of Energy,Argonne National Laboratory
,,,millenia.cars.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,minedatabase.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,,"Mo-99 Technology Development, elimination of HEU, converting isotope production processes to LEU, Mo-99 Topical Meeting, LEU Mo-99 Production, HEU Minimization, Medical Radioisotope Production, Argonne National Laboratory, Argonne, national, lab, laboratory",mo99.ne.anl.gov,Department of Energy,Argonne National Laboratory
,,,my.alcf.anl.gov,Department of Energy,Argonne National Laboratory
,,,nek5000.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,,,nekcem.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,,,neklbm.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,The Reduced Enrichment for Research and Test Reactors (RERTR) Program of Argonne's Nuclear Science and Engineering division works in the field of nonproliferation. The RERTR program has the mission of developing the technologies necessary to convert research and test reactors from the use of fuels and targets containing highly-enriched uranium to the use of fuels and targets containing low enriched uranium.,"RERTR, reduced enrichment, reactors, research reactors, test reactors, nonproliferation, Nuclear Engineering, national lab, DOE, Argonne National Laboratory, Argonne",ne-web3.ne.anl.gov,Department of Energy,Argonne National Laboratory
,,,nginxcluster.gss.anl.gov,Department of Energy,Argonne National Laboratory
,Disclaimer for the ECAP web site,,nnsa.nsis.anl.gov,Department of Energy,Argonne National Laboratory
,,,nss-8-chicago.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,ops.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,ops-d.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,outage.egs.anl.gov,Department of Energy,Argonne National Laboratory
,,,p3-rr-1.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,,,p3-rr-2.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,,,papka.cels.anl.gov,Department of Energy,Argonne National Laboratory
,,,pecworkshop2013.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,pico.cnm.anl.gov,Department of Energy,Argonne National Laboratory
,"BioCAT is resuming user operations for the 2025-1 run! Find out more. Get Beam time BioCAT is a national user facility funded by the NIH, and beam time is free for experimenters. Beam time is awarded through the APS GUP process, which considers feasibility and scientific merit. Learn More Get Beam time Learn More Proteins May Prevent Dysfunction and Disease by Relaxing A new study suggests many proteins remain expanded in the cell, rather than contracting into tight folded shapes. Learn More Proteins May Prevent Dysfunction and Disease by Relaxing Learn More Unearthing the Mechanism of the Frank-Starling Law Recent X-ray diffraction experiments show that the protein titin is critically important for transmitting the stretch-induced signals within the heart’s muscles known to impact the strength with which the heart contracts. This work not only solves a piece of the mystery of how the frank-Starling law determines cardiac function, but provides an avenue for targeted development of drugs to treat heart failure. Learn More Unearthing the Mechanism of the Frank-Starling Law Learn More Previous Next Science Highlights Unraveling folding pathways of dynamic DNA quadruplexes G-quadruplexes (G4s) are non-B form DNA structures containing genomic regions rich in guanine that sometimes fold …",,pinky.bio.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,raas.anl.gov,Department of Energy,Argonne National Laboratory
,,,raas.gss.anl.gov,Department of Energy,Argonne National Laboratory
,,,rapd.nec.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,remotesupport.anl.gov,Department of Energy,Argonne National Laboratory
,,,rivendell.ne.anl.gov,Department of Energy,Argonne National Laboratory
,,,s20.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,sbc.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,schedule.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,sector33.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,sector34.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,sector9.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,sequencing.bio.anl.gov,Department of Energy,Argonne National Laboratory
,,,sg.bio.anl.gov,Department of Energy,Argonne National Laboratory
,,,shock-mgrast.metagenomics.anl.gov,Department of Energy,Argonne National Laboratory
,,,sigma.mcs.anl.gov,Department of Energy,Argonne National Laboratory
,,,skr.nsis.anl.gov,Department of Energy,Argonne National Laboratory
,,,small-angle.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,smallworlds.cels.anl.gov,Department of Energy,Argonne National Laboratory
,,,solareis.anl.gov,Department of Energy,Argonne National Laboratory
,,,solarmapper.anl.gov,Department of Energy,Argonne National Laboratory
,,,sri2010.aps.anl.gov,Department of Energy,Argonne National Laboratory
,,,status.alcf.anl.gov,Department of Energy,Argonne National Laboratory
,,fallback response,status.aps.anl.gov,Department of Energy,Argonne National Laboratory
