agency,domain,domaintype,lastmodified,organization,scan_data_url,scantype,/,/cj,/code.json,/coronavirus,/data,/data.json,/developer,/digitalstrategy,/digitalstrategy/FITARAmilestones.json,/digitalstrategy/bureaudirectory.json,/digitalstrategy/costsavings.json,/digitalstrategy/datacenteroptimizationstrategicplan.json,/digitalstrategy/governanceboards.json,/open,/privacy,/redirecttest-foo-bar-baz,/robots.txt,/sitemap.xml,dap_detected,dap_parameters,dap_parameters,domain,domain,invalid,status_code
General Services Administration,accessibility.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/accessibility.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,True,agency=GSA,agency=GSA,accessibility.gov,accessibility.gov,,200
General Services Administration,automated-testing-playbook.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/automated-testing-playbook.18f.gov.json,200scanner,200,200,200,200,200,200,200,200,429,429,429,200,429,200,200,429,200,200,False,,,automated-testing-playbook.18f.gov,automated-testing-playbook.18f.gov,,200
General Services Administration,app.buyaccessible.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/app.buyaccessible.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,True,agency=GSA,agency=GSA,app.buyaccessible.gov,app.buyaccessible.gov,,200
General Services Administration,api-usability-testing.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/api-usability-testing.18f.gov.json,200scanner,200,429,200,200,200,200,200,200,429,429,429,429,429,200,200,429,429,429,False,,,api-usability-testing.18f.gov,api-usability-testing.18f.gov,,200
General Services Administration,agile.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/agile.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,agile.18f.gov,agile.18f.gov,,200
General Services Administration,atul-docker-presentation.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/atul-docker-presentation.18f.gov.json,200scanner,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,,,atul-docker-presentation.18f.gov,atul-docker-presentation.18f.gov,,-1
General Services Administration,boise.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/boise.18f.gov.json,200scanner,200,429,200,200,200,200,200,200,429,429,429,429,429,200,200,429,200,429,False,,,boise.18f.gov,boise.18f.gov,,200
General Services Administration,citizenscience.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/citizenscience.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA&subagency=,agency=GSA&subagency=,citizenscience.gov,citizenscience.gov,,200
General Services Administration,before-you-ship.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/before-you-ship.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,404,404,False,,,before-you-ship.18f.gov,before-you-ship.18f.gov,,200
General Services Administration,blogging-guide.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/blogging-guide.18f.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,True,agency=GSA,agency=GSA,blogging-guide.18f.gov,blogging-guide.18f.gov,,200
General Services Administration,chat.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/chat.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,chat.18f.gov,chat.18f.gov,,200
General Services Administration,atf-eregs.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/atf-eregs.18f.gov.json,200scanner,200,500,404,500,500,404,500,500,404,404,404,404,404,500,500,500,404,404,True,agency=DOJ&subagency=ATF,agency=DOJ&subagency=ATF,atf-eregs.18f.gov,atf-eregs.18f.gov,,200
General Services Administration,cao.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,GSA-Interagency Management Division,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cao.gov.json,200scanner,200,404,404,200,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA&pua=UA-104075855-1,agency=GSA&pua=UA-104075855-1,cao.gov,cao.gov,,200
General Services Administration,brand.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/brand.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,brand.18f.gov,brand.18f.gov,,200
General Services Administration,businessusa.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Office of Citizen Services and Innovative Technologies,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/businessusa.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,True,agency=GSA&dclink=true&pua=UA-97208879-1&pua=UA-97199174-1&sitetopic=Small%20Business&siteplatform=generic-navigation-page,agency=GSA&dclink=true&pua=UA-97208879-1&pua=UA-97199174-1&sitetopic=Small%20Business&siteplatform=generic-navigation-page,businessusa.gov,businessusa.gov,,200
General Services Administration,buyamerican.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/buyamerican.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,True,agency=GSA,agency=GSA,buyamerican.gov,buyamerican.gov,,206
General Services Administration,cbca.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Civilian Board of Contract Appeals,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cbca.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,False,,,cbca.gov,cbca.gov,,200
General Services Administration,cfda.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Federal Assistance Catalog,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cfda.gov.json,200scanner,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,,,cfda.gov,cfda.gov,,503
General Services Administration,buyaccessible.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Electronic Government and Technology,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/buyaccessible.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA,agency=GSA,buyaccessible.gov,buyaccessible.gov,,200
General Services Administration,c2.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/c2.18f.gov.json,200scanner,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,,,c2.18f.gov,c2.18f.gov,,404
General Services Administration,cfo.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Chief Finanical Officers Council,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cfo.gov.json,200scanner,200,404,404,404,200,404,404,404,404,404,404,404,404,404,404,404,200,404,True,agency=GSA&sub-agency=OGP,agency=GSA&sub-agency=OGP,cfo.gov,cfo.gov,,200
General Services Administration,charlie.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/charlie.18f.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,charlie.18f.gov,charlie.18f.gov,,404
General Services Administration,data.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/data.gov.json,200scanner,200,404,404,404,404,404,200,404,404,404,404,404,404,404,404,404,200,404,True,agency=GSA,agency=GSA,data.gov,data.gov,,200
General Services Administration,cio.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Chief Information Officers Council,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cio.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA,agency=GSA,cio.gov,cio.gov,,200
General Services Administration,climate-data-user-study.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/climate-data-user-study.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,climate-data-user-study.18f.gov,climate-data-user-study.18f.gov,,200
General Services Administration,cpars.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,GSA,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cpars.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,,,cpars.gov,cpars.gov,,200
General Services Administration,challenge.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Office of Citizen Services,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/challenge.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,challenge.gov,challenge.gov,,200
General Services Administration,cap.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cap.18f.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,False,,,cap.18f.gov,cap.18f.gov,,200
General Services Administration,code.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,U.S. General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/code.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,True,agency=GSA&pua=UA-48605964-54&sdor=code.gov,agency=GSA&pua=UA-48605964-54&sdor=code.gov,code.gov,code.gov,,200
General Services Administration,cxo.dialogue.cao.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cxo.dialogue.cao.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,cxo.dialogue.cao.gov,cxo.dialogue.cao.gov,,200
General Services Administration,compliance-viewer.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/compliance-viewer.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,compliance-viewer.18f.gov,compliance-viewer.18f.gov,,200
General Services Administration,consumeraction.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Federal Citizen Information Center/OCSC,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/consumeraction.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,True,agency=GSA&dclink=true&pua=UA-97208879-1&pua=UA-97199174-1&sitetopic=Home&siteplatform=home,agency=GSA&dclink=true&pua=UA-97208879-1&pua=UA-97199174-1&sitetopic=Home&siteplatform=home,consumeraction.gov,consumeraction.gov,,200
General Services Administration,content-guide.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/content-guide.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,content-guide.18f.gov,content-guide.18f.gov,,200
General Services Administration,cloud.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,18F | GSA,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cloud.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA,agency=GSA,cloud.gov,cloud.gov,,200
General Services Administration,computersforlearning.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Federal Supply Service,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/computersforlearning.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,,,computersforlearning.gov,computersforlearning.gov,,200
General Services Administration,contracting-cookbook.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/contracting-cookbook.18f.gov.json,200scanner,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,False,,,contracting-cookbook.18f.gov,contracting-cookbook.18f.gov,,200
General Services Administration,continua11y.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/continua11y.18f.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,continua11y.18f.gov,continua11y.18f.gov,,404
General Services Administration,contractdirectory.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,GSA Office of Acquisition Systems,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/contractdirectory.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,,,contractdirectory.gov,contractdirectory.gov,,200
General Services Administration,cxo.dialogue2.cao.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/cxo.dialogue2.cao.gov.json,200scanner,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,cxo.dialogue2.cao.gov,cxo.dialogue2.cao.gov,,200
General Services Administration,connect.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/connect.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA&subagency=18F,agency=GSA&subagency=18F,connect.gov,connect.gov,,200
General Services Administration,design-principles-guide.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/design-principles-guide.18f.gov.json,200scanner,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,False,,,design-principles-guide.18f.gov,design-principles-guide.18f.gov,,200
General Services Administration,dotgov.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,GSA,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/dotgov.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,True,agency=GSA,agency=GSA,dotgov.gov,dotgov.gov,,200
General Services Administration,dolores-staging.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/dolores-staging.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,dolores-staging.18f.gov,dolores-staging.18f.gov,,200
General Services Administration,digital-acquisition-playbook.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/digital-acquisition-playbook.18f.gov.json,200scanner,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,False,,,digital-acquisition-playbook.18f.gov,digital-acquisition-playbook.18f.gov,,200
General Services Administration,digital.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,The General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/digital.gov.json,200scanner,200,404,404,200,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,ver=true&agency=GSA,ver=true&agency=GSA,digital.gov,digital.gov,,200
General Services Administration,ecpic.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,GSA,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/ecpic.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,ver=true&agency=GSA,ver=true&agency=GSA,ecpic.gov,ecpic.gov,,200
General Services Administration,digitaldashboard.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/digitaldashboard.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA,agency=GSA,digitaldashboard.gov,digitaldashboard.gov,,200
General Services Administration,dolores-app.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/dolores-app.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,dolores-app.18f.gov,dolores-app.18f.gov,,200
General Services Administration,digitalaccelerator.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/digitalaccelerator.18f.gov.json,200scanner,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,False,,,digitalaccelerator.18f.gov,digitalaccelerator.18f.gov,,200
General Services Administration,digitalgov.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Office of Citizen Services and Innovative Technologies,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/digitalgov.gov.json,200scanner,200,404,404,200,404,404,404,404,404,404,404,404,404,404,404,404,200,200,True,ver=true&agency=GSA,ver=true&agency=GSA,digitalgov.gov,digitalgov.gov,,200
General Services Administration,faca.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Committee Management Secretariat,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/faca.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA&subagency=OGP&sp=query&enhlink=true&yt=false,agency=GSA&subagency=OGP&sp=query&enhlink=true&yt=false,faca.gov,faca.gov,,200
General Services Administration,facadatabase.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Committee Management Secretariat,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/facadatabase.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA&subagency=OGP,agency=GSA&subagency=OGP,facadatabase.gov,facadatabase.gov,,200
General Services Administration,fapiis.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,GSA,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/fapiis.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,fapiis.gov,fapiis.gov,,200
General Services Administration,fbf.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,GSA,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/fbf.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,False,,,fbf.gov,fbf.gov,,403
General Services Administration,federalist-docs-staging.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/federalist-docs-staging.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA,agency=GSA,federalist-docs-staging.18f.gov,federalist-docs-staging.18f.gov,,200
General Services Administration,esrs.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Office Of Acquisition Systems,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/esrs.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,404,404,True,,,esrs.gov,esrs.gov,,200
General Services Administration,fedinfo.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,GSA,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/fedinfo.gov.json,200scanner,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,,,fedinfo.gov,fedinfo.gov,,-1
General Services Administration,fedrooms.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/fedrooms.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,True,agency=GSA&subagency=FAS&sp=query&enhlink=true&yt=false,agency=GSA&subagency=FAS&sp=query&enhlink=true&yt=false,fedrooms.gov,fedrooms.gov,,200
General Services Administration,eng-hiring.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/eng-hiring.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,eng-hiring.18f.gov,eng-hiring.18f.gov,,200
